,actualSales,salesPrediction,salesForecasts
197,8300.0,7491.3804,
198,7500.0,6576.061,
199,6900.0,6129.2344,
200,4900.0,4396.89,
201,2400.0,2364.0198,
202,1900.0,2189.3774,
203,3000.0,3232.2207,
204,4700.0,4646.0015,
205,4500.0,4278.0474,
206,5800.0,5472.7114,
207,3700.0,3434.766,
208,4700.0,4568.8833,
209,1900.0,1938.6342,
210,1200.0000000000002,1619.8184,
211,3800.0,4031.2478,
212,5100.0,4918.9746,
213,5900.0,5496.6313,
214,4400.0,4055.5771,
215,2700.0,2687.8389,
216,1800.0,2067.2122,
217,9999.999999999998,9451.054,
218,7500.0,6388.9736,
219,6600.0,5860.7827,
220,8200.0,7381.63,
221,5500.000000000001,4794.8438,
222,4200.0,3919.0007,
223,1900.0,1993.0094,
224,6799.999999999999,6653.2607,
225,8300.0,7447.7817,
226,6600.0,5772.64,
227,6900.0,6228.234,
228,9800.0,8740.18,
229,3800.0,3087.481,
230,4999.999999999999,4828.7305,
231,11100.0,10039.846,
232,5900.0,4835.6743,
233,6799.999999999999,6215.798,
234,7400.0,6651.907,
235,6000.0,5333.1753,
236,5800.0,5307.524,
237,3800.0,3524.969,
238,6700.0,6356.7173,
239,5200.0,4689.629,
240,8000.0,7357.9927,
241,4200.0,3644.3484,
242,7500.0,7024.965,
243,3600.0,3158.3848,
244,3800.0,3766.925,
245,5900.0,5639.6323,
246,8100.0,7369.8896,
247,7700.0,6775.607,
248,4999.999999999999,4399.0493,
249,4300.0,4064.3528,
250,5100.0,4863.8926,
251,2700.0,2611.2935,
252,6700.0,6476.93,
253,7100.0,6395.758,
254,6900.0,6173.248,
255,7200.0,6462.9253,
256,6200.0,5534.9814,
257,3500.0,3210.6038,
258,4600.0,4500.5996,
259,9100.0,8384.039,
260,6200.0,5325.551,
261,7800.000000000001,7072.3506,
262,8800.0,7776.9683,
263,5600.0,4818.843,
264,3800.0,3546.938,
265,3000.0,3023.4312,
266,6000.0,5817.3193,
267,5600.0,5127.416,
268,4300.0,3998.296,
269,4800.0,4593.076,
270,6200.0,5799.203,
271,3700.0,3390.871,
272,2000.0,2136.8376,
273,8500.0,8141.3076,
274,7600.0,6642.9185,
275,,3057.4377,3057.4377
276,,3805.2622,3805.2622
277,,3539.8237,3539.8237
278,,3672.0073,3672.0073
279,,3889.5173,3889.5173
280,,3991.2405,3991.2405
281,,3399.8328,3399.8328
